# HK32F030M SRAM + Peripheral Register Dump (v2 — with AP reinit)
# Date: Wed May 20 10:14:15 2026 GMT-0400
# RDP is active (0x00) — flash reads blocked.
# SRAM and peripherals are readable.

# SRAM (0x20000000) - live program state
20000e78: 70 b8 d7 e6
20000e7c: 40 27 4e 33
20000e80: cd 30 c5 3c
20000e84: 15 2f 88 e4
20000e88: fa 7f 9a 19
20000e8c: 26 54 32 8d
20000e90: c9 5c 17 ef
20000e94: 89 ef 59 dc
20000e98: be 65 e3 bc
20000e9c: 6a 6e ce af
20000ea0: 0d b8 41 3f
20000ea4: 0c c5 df e1
20000ea8: 71 23 70 0e
20000eac: c7 99 4a a7
20000eb0: b7 a3 26 bd
20000eb4: c5 7f a5 6c
20000eb8: 5f d2 17 83
20000ebc: de 58 96 4b
20000ec0: 71 40 22 c1
20000ec4: 66 65 ba cf
20000ec8: ae f5 4c 6d
20000ecc: 03 73 7c 1e
20000ed0: f8 8c 2d 30
20000ed4: 79 66 17 72
20000ed8: 3b e6 a6 a9
20000edc: da 8d e6 a5
20000ee0: f1 eb 9f a1
20000ee4: b5 2c 3c ae
20000ee8: 9a 1c 15 39
20000eec: e6 65 65 7a
20000ef0: ca d9 5d 86
20000ef4: ea a3 4f 66
20000ef8: 15 f1 ed f2
20000efc: 01 cb 9f ae
20000f00: 77 24 19 66
20000f04: cc 95 f0 46
20000f08: 27 c9 dd fc
20000f0c: 71 dc d1 2a
20000f10: 55 d3 0a d2
20000f14: 37 d7 00 cc
20000f18: 40 1c ee d8
20000f1c: 45 e0 18 58
20000f20: 0b c1 59 8e
20000f24: f1 1f 47 84
20000f28: 34 3b 5e 26
20000f2c: 8f 8c 3b 34
20000f30: e5 04 02 19
20000f34: 75 2f 54 55
20000f38: 98 28 59 16
20000f3c: fb a9 7b 1a
20000f40: 18 fd e1 23
20000f44: 09 84 31 8c
20000f48: b9 4f 9e 02
20000f4c: c7 19 6f 9d
20000f50: e9 3d da 5c
20000f54: d5 f3 c0 ef
20000f58: f9 9d b6 96
20000f5c: a1 86 01 bf
20000f60: 9f 6f f0 56
20000f64: b7 28 a9 57
20000f68: 3e 03 d4 2f
20000f6c: a4 7f 7d 75
20000f70: 66 a1 f7 c0
20000f74: 28 1e 1d ff
20000f78: a4 cc ec 50
20000f7c: 4f 87 25 70
20000f80: b7 a1 a2 b2
20000f84: 93 05 8f ea
20000f88: 5a 65 9f e7
20000f8c: 9a 99 59 24
20000f90: a2 2c fa f7
20000f94: ad cb a4 4c
20000f98: 82 f4 98 b8
20000f9c: f9 be 43 1e
20000fa0: df 57 b2 40
20000fa4: bf d2 76 3f
20000fa8: e6 53 91 78
20000fac: f0 82 e3 07
20000fb0: 94 2c 24 39
20000fb4: 3f 29 06 89
20000fb8: 10 fa 32 74
20000fbc: 76 51 93 3b
20000fc0: 17 76 ff 62
20000fc4: 1b ab 94 9f
20000fc8: ea 7c 26 c9
20000fcc: 7f f3 98 78
20000fd0: 47 ae 08 5d
20000fd4: 42 92 71 1d
20000fd8: b3 6e 45 25
20000fdc: 09 60 85 c5
20000fe0: f9 d6 74 f6
20000fe4: 05 b3 ce b2
20000fe8: 2f 52 ce 86
20000fec: 63 eb 20 f6
20000ff0: 79 f4 6a a6
20000ff4: f7 a9 bf 6d
20000ff8: 25 ff 93 cb
20000ffc: 11 73 f3 c8

# EEPROM (0x0C000000)
0c000000: aa aa aa aa
0c000004: aa aa aa aa
0c000008: aa aa aa aa
0c00000c: aa aa aa aa
0c000010: aa aa aa aa
0c000014: aa aa aa aa
0c000018: aa aa aa aa
0c00001c: aa aa aa aa
0c000020: aa aa aa aa
0c000024: aa aa aa aa
0c000028: aa aa aa aa
0c00002c: aa aa aa aa
0c000030: aa aa aa aa
0c000034: aa aa aa aa
0c000038: aa aa aa aa
0c00003c: aa aa aa aa
0c000040: aa aa aa aa
0c000044: aa aa aa aa
0c000048: aa aa aa aa
0c00004c: aa aa aa aa
0c000050: aa aa aa aa
0c000054: aa aa aa aa
0c000058: aa aa aa aa
0c00005c: aa aa aa aa
0c000060: aa aa aa aa
0c000064: aa aa aa aa
0c000068: aa aa aa aa
0c00006c: aa aa aa aa
0c000070: aa aa 56 55
0c000074: aa aa aa aa
0c000078: aa aa aa aa
0c00007c: aa aa aa aa
0c000080: aa aa aa aa
0c000084: aa aa aa aa
0c000088: aa aa aa aa
0c00008c: aa aa aa aa
0c000090: aa aa aa aa
0c000094: aa aa aa aa
0c000098: aa aa aa aa
0c00009c: aa aa aa aa
0c0000a0: aa aa aa aa
0c0000a4: aa aa aa aa
0c0000a8: aa aa aa aa
0c0000ac: aa aa aa aa
0c0000b0: aa aa aa aa
0c0000b4: aa aa aa aa
0c0000b8: aa aa aa aa
0c0000bc: aa aa aa aa
0c0000c0: aa aa aa aa
0c0000c4: aa aa aa aa
0c0000c8: aa aa aa aa
0c0000cc: aa aa aa aa
0c0000d0: aa aa aa aa
0c0000d4: aa aa aa aa
0c0000d8: aa aa aa aa
0c0000dc: aa aa aa aa
0c0000e0: aa aa aa aa
0c0000e4: aa aa aa aa
0c0000e8: aa aa aa aa
0c0000ec: aa aa aa aa
0c0000f0: aa aa aa aa
0c0000f4: aa aa aa aa
0c0000f8: aa aa aa aa
0c0000fc: aa aa aa aa
0c000100: aa aa aa aa
0c000104: aa aa aa aa
0c000108: aa aa aa aa
0c00010c: aa aa aa aa
0c000110: aa aa aa aa
0c000114: aa aa aa aa
0c000118: aa aa aa aa
0c00011c: aa aa aa aa
0c000120: aa aa aa aa
0c000124: aa aa aa aa
0c000128: aa aa aa aa
0c00012c: aa aa aa aa
0c000130: aa aa aa aa
0c000134: aa aa aa aa
0c000138: aa aa aa aa
0c00013c: aa aa aa aa
0c000140: aa aa aa aa
0c000144: aa aa aa aa
0c000148: aa aa aa aa
0c00014c: aa aa aa aa
0c000150: aa aa aa aa
0c000154: aa aa aa aa
0c000158: aa aa aa aa
0c00015c: aa aa aa aa
0c000160: aa aa aa aa
0c000164: aa aa aa aa
0c000168: aa aa aa aa
0c00016c: aa aa aa aa
0c000170: aa aa aa aa
0c000174: aa aa aa aa
0c000178: aa aa aa aa
0c00017c: aa aa aa aa
0c000180: aa aa aa aa
0c000184: aa aa aa aa
0c000188: aa aa aa aa
0c00018c: aa aa aa aa
0c000190: aa aa aa aa
0c000194: aa aa aa aa
0c000198: aa aa aa aa
0c00019c: aa aa aa aa
0c0001a0: aa aa aa aa
0c0001a4: aa aa aa aa
0c0001a8: aa aa aa aa
0c0001ac: aa aa aa aa
0c0001b0: aa aa aa aa
0c0001b4: aa aa aa aa
0c0001b8: aa aa aa aa
0c0001bc: aa aa aa aa

# Option Bytes (0x1ffff800)
1ffff800: 00 ff ff 00  ; RDP/nRDP
1ffff804: ff 00 ff 00  ; USER/nUSER
1ffff808: ff 00 ff 00  ; DATA0/nDATA0
1ffff80c: ff 00 ff 00  ; DATA1/nDATA1
1ffff810: ff ff ff ff  ; IWDG_KEY/RL
1ffff814: ff ff ff ff  ; DBG_CLK_CTL
1ffff818: 02 fd 60 82  ; UID_0?
1ffff81c: cc 33 00 00  ; UID_1?

# FLASH_IF (0x40022000)
40022000: 02 00 00 00  ; ACR
40022004: 00 00 00 00  ; KEYR
40022008: 00 00 00 00  ; OPTKEYR
4002200c: 00 00 00 00  ; SR
40022010: 80 00 00 00  ; CR
40022014: 00 00 00 00  ; AR
40022018: 00 00 00 00  ; RSVD
4002201c: fa ff ff ff  ; OBR

# DBGMCU (0x40015800)
40015800: 00 00 00 00  ; IDCODE
40015804: 00 00 00 00  ; CR
40015808: 00 00 00 00  ; APB_FZ

# RCC (0x40021000)
40021000: 23 1a 00 00  ; CR
40021004: 00 00 00 00  ; CFGR
40021008: 00 00 00 00  ; CIR
4002100c: 00 00 00 00  ; APB2RSTR
40021010: 00 00 00 00  ; APB1RSTR
40021014: 14 00 1e 00  ; AHBENR
40021018: 00 40 00 00  ; APB2ENR
4002101c: 01 00 00 00  ; APB1ENR
40021020: 00 00 00 00  ; BDCR
40021024: 00 00 00 2c  ; CSR
40021028: 00 00 00 00  ; AHBRSTR
4002102c: 00 00 00 00  ; CFGR2

# GPIOA (0x48000000)
48000000: bc ff 00 00  ; MODER
48000004: 00 00 00 00  ; OTYPER
48000008: c0 00 00 00  ; OSPEEDR
4800000c: 01 00 00 00  ; PUPDR
48000010: 08 00 00 00  ; IDR
48000014: 00 00 00 00  ; ODR
48000018: 00 00 00 00  ; BSRR
4800001c: 00 00 00 00  ; LCKR
48000020: 00 10 00 00  ; AFRL
48000024: 00 00 00 00  ; AFRH

# GPIOB (0x48000400)
48000400: ff fa 00 00  ; MODER
48000404: 00 00 00 00  ; OTYPER
48000408: 00 03 00 00  ; OSPEEDR
4800040c: 00 08 00 00  ; PUPDR
48000410: 30 00 00 00  ; IDR
48000414: 00 00 00 00  ; ODR
48000418: 00 00 00 00  ; BSRR
4800041c: 00 00 00 00  ; LCKR
48000420: 00 00 01 00  ; AFRL
48000424: 00 00 00 00  ; AFRH

# GPIOC (0x48000800)
48000800: 7f 55 00 00  ; MODER
48000804: 00 00 00 00  ; OTYPER
48000808: c0 ff 00 00  ; OSPEEDR
4800080c: 00 00 00 00  ; PUPDR
48000810: 00 00 00 00  ; IDR
48000814: 00 00 00 00  ; ODR
48000818: 00 00 00 00  ; BSRR
4800081c: 00 00 00 00  ; LCKR
48000820: 00 00 00 00  ; AFRL
48000824: 00 00 00 00  ; AFRH

# GPIOD (0x48000c00)
48000c00: 57 f9 00 00  ; MODER
48000c04: 00 00 00 00  ; OTYPER
48000c08: fc 0f 00 00  ; OSPEEDR
48000c0c: 00 04 00 00  ; PUPDR
48000c10: 10 00 00 00  ; IDR
48000c14: 10 00 00 00  ; ODR
48000c18: 00 00 00 00  ; BSRR
48000c1c: 00 00 00 00  ; LCKR
48000c20: 00 00 00 00  ; AFRL
48000c24: 00 00 00 00  ; AFRH

# USART1 (0x40013800)
40013800: 2d 00 00 00  ; CR1
40013804: 00 00 00 00  ; CR2
40013808: 00 00 00 00  ; CR3
4001380c: 2c 02 00 00  ; BRR
40013810: 00 00 00 00  ; GTPR
40013814: 00 00 00 00  ; RTOR
40013818: 00 00 00 00  ; RQR
4001381c: fa 10 62 00  ; ISR
40013820: 00 00 00 00  ; ICR
40013824: 00 00 00 00  ; RDR

# TIM1 (0x40012c00)
40012c00: 00 00 00 00  ; CR1
40012c04: 00 00 00 00  ; CR2
40012c08: 00 00 00 00  ; SMCR
40012c0c: 00 00 00 00  ; DIER
40012c10: 00 00 00 00  ; SR
40012c14: 00 00 00 00  ; EGR
40012c18: 00 00 00 00  ; CCMR1
40012c1c: 00 00 00 00  ; CCMR2
40012c20: 00 00 00 00  ; CCER
40012c24: 00 00 00 00  ; CNT
40012c28: 00 00 00 00  ; PSC
40012c2c: 00 00 00 00  ; ARR
40012c30: 00 00 00 00  ; RCR
40012c34: 00 00 00 00  ; CCR1
40012c38: 00 00 00 00  ; CCR2
40012c3c: 00 00 00 00  ; CCR3
40012c40: 00 00 00 00  ; CCR4
40012c44: 00 00 00 00  ; BDTR
40012c48: 00 00 00 00  ; DCR
40012c4c: 00 00 00 00  ; DMAR

# TIM3 (0x40000400)
40000400: 00 00 00 00  ; CR1
40000404: 00 00 00 00  ; CR2
40000408: 00 00 00 00  ; SMCR
4000040c: 00 00 00 00  ; DIER
40000410: 00 00 00 00  ; SR
40000414: 00 00 00 00  ; EGR
40000418: 00 00 00 00  ; CCMR1
4000041c: 00 00 00 00  ; CCMR2
40000420: 00 00 00 00  ; CCER
40000424: 00 00 00 00  ; CNT
40000428: 00 00 00 00  ; PSC
4000042c: 00 00 00 00  ; ARR
40000430: 00 00 00 00  ; RCR
40000434: 00 00 00 00  ; CCR1
40000438: 00 00 00 00  ; CCR2
4000043c: 00 00 00 00  ; CCR3
40000440: 00 00 00 00  ; CCR4
40000444: 00 00 00 00  ; BDTR
40000448: 00 00 00 00  ; DCR
4000044c: 00 00 00 00  ; DMAR

# TIM14 (0x40002000)
40002000: 00 00 00 00  ; CR1
40002004: 00 00 00 00  ; CR2
40002008: 00 00 00 00  ; SMCR
4000200c: 00 00 00 00  ; DIER
40002010: 00 00 00 00  ; SR
40002014: 00 00 00 00  ; EGR
40002018: 00 00 00 00  ; CCMR1
4000201c: 00 00 00 00  ; CCMR2

# TIM16 (0x40014400)
40014400: 00 00 00 00  ; CR1
40014404: 00 00 00 00  ; CR2
40014408: 00 00 00 00  ; SMCR
4001440c: 00 00 00 00  ; DIER
40014410: 00 00 00 00  ; SR
40014414: 00 00 00 00  ; EGR
40014418: 00 00 00 00  ; CCMR1
4001441c: 00 00 00 00  ; CCMR2

# TIM17 (0x40014800)
40014800: 00 00 00 00  ; CR1
40014804: 00 00 00 00  ; CR2
40014808: 00 00 00 00  ; SMCR
4001480c: 00 00 00 00  ; DIER
40014810: 00 00 00 00  ; SR
40014814: 00 00 00 00  ; EGR
40014818: 00 00 00 00  ; CCMR1
4001481c: 00 00 00 00  ; CCMR2

# SPI1 (0x40013000)
40013000: 00 00 00 00  ; CR1
40013004: 00 00 00 00  ; CR2
40013008: 00 00 00 00  ; SR
4001300c: 00 00 00 00  ; DR
40013010: 00 00 00 00  ; CRCPR
40013014: 00 00 00 00  ; RXCRCR
40013018: 00 00 00 00  ; TXCRCR
4001301c: 00 00 00 00  ; I2SCFGR
40013020: 00 00 00 00  ; I2SPR
40013024: 00 00 00 00  ; RSVD

# I2C1 (0x40005400)
40005400: 00 00 00 00  ; CR1
40005404: 00 00 00 00  ; CR2
40005408: 00 00 00 00  ; OAR1
4000540c: 00 00 00 00  ; OAR2
40005410: 00 00 00 00  ; TIMINGR
40005414: 00 00 00 00  ; TIMEOUTR
40005418: 00 00 00 00  ; ISR
4000541c: 00 00 00 00  ; ICR
40005420: 00 00 00 00  ; PECR
40005424: 00 00 00 00  ; RXDR

# ADC (0x40012400)
40012400: 00 00 00 00  ; ISR
40012404: 00 00 00 00  ; IER
40012408: 00 00 00 00  ; CR
4001240c: 00 00 00 00  ; CFGR1
40012410: 00 00 00 00  ; CFGR2
40012414: 00 00 00 00  ; SMPR
40012418: 00 00 00 00  ; RSVD
4001241c: 00 00 00 00  ; RSVD
40012420: 00 00 00 00  ; TR
40012424: 00 00 00 00  ; RSVD
40012428: 00 00 00 00  ; CHSELR
4001242c: 00 00 00 00  ; RSVD
40012430: 00 00 00 00  ; RSVD
40012434: 00 00 00 00  ; RSVD
40012438: 00 00 00 00  ; RSVD
4001243c: 00 00 00 00  ; RSVD
40012440: 00 00 00 00  ; RSVD
40012444: 00 00 00 00  ; RSVD
40012448: 00 00 00 00  ; RSVD
4001244c: 00 00 00 00  ; DR

# SYSCFG (0x40010000)
40010000: 00 00 00 00  ; CFGR1
40010004: 00 00 00 00  ; RSVD
40010008: 00 00 00 00  ; EXTICR1
4001000c: 00 00 00 00  ; EXTICR2
40010010: 00 00 00 00  ; EXTICR3
40010014: 00 00 00 00  ; EXTICR4
40010018: 00 00 00 00  ; CFGR2
4001001c: 00 00 00 00  ; RSVD

# EXTI (0x40010400)
40010400: 00 07 00 00  ; IMR
40010404: 00 00 00 00  ; EMR
40010408: 00 00 00 00  ; RTSR
4001040c: 00 00 00 00  ; FTSR
40010410: 00 00 00 00  ; SWIER
40010414: 00 00 00 00  ; PR

# IWDG (0x40003000)
40003000: 00 00 00 00  ; KR
40003004: 00 00 00 00  ; PR
40003008: ff 0f 00 00  ; RLR
4000300c: 00 00 00 00  ; SR
40003010: ff 0f 00 00  ; WINR

# TIM2 (0x40000000)
40000000: 01 00 00 00  ; CR1
40000004: 00 00 00 00  ; CR2
40000008: 00 00 00 00  ; SMCR
4000000c: 01 00 00 00  ; DIER
40000010: 1f 00 00 00  ; SR
40000014: 00 00 00 00  ; EGR
40000018: 00 00 00 00  ; CCMR1
4000001c: 00 00 00 00  ; CCMR2
40000020: 00 00 00 00  ; CCER
40000024: 76 07 00 00  ; CNT
40000028: 00 00 00 00  ; PSC
4000002c: 05 0d 00 00  ; ARR
40000030: 00 00 00 00  ; RCR
40000034: 00 00 00 00  ; CCR1
40000038: 00 00 00 00  ; CCR2
4000003c: 00 00 00 00  ; CCR3
40000040: 00 00 00 00  ; CCR4
40000044: 00 00 00 00  ; BDTR
40000048: 00 00 00 00  ; DCR
4000004c: 00 00 00 00  ; DMAR

# NVIC_ISER (IRQ enable) (0xe000e100)
e000e100: 00 80 00 08  ; ISER0

# NVIC_ISPR (IRQ pending) (0xe000e180)
e000e180: 00 80 00 08  ; ISPR0

# NVIC_IPR (IRQ priorities) (0xe000e400)
e000e400: 00 00 00 00  ; IPR0 (IRQ0-3)
e000e404: 00 00 00 00  ; IPR1 (IRQ4-7)
e000e408: 00 00 00 00  ; IPR2 (IRQ8-11)
e000e40c: 00 00 00 00  ; IPR3 (IRQ12-15)
e000e410: 00 00 00 00  ; IPR4 (IRQ16-19)
e000e414: 00 00 00 00  ; IPR5 (IRQ20-23)
e000e418: 00 00 00 00  ; IPR6 (IRQ24-27)
e000e41c: 00 00 00 00  ; IPR7 (IRQ28-31)

# SysTick (0xe000e010)
e000e010: 07 00 01 00  ; CSR
e000e014: 7f 3e 00 00  ; RVR
e000e018: 9b 17 00 00  ; CVR

# SCB (0xe000ed00)
e000ed00: 00 c2 0c 41  ; CPUID
e000ed04: 03 f0 41 04  ; ICSR
e000ed08: 00 00 00 00  ; VTOR
e000ed0c: 00 00 05 fa  ; AIRCR
e000ed10: 00 00 00 00  ; SCR

